thread_id,status,detail,thread_start_time
4757176472,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-15 07:48:40.511000+00:00
4773547169,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-16 18:52:06.532000+00:00
4817378911,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-22 23:21:58.607000+00:00
4832616088,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-25 20:26:52.562000+00:00
4832666381,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-06-25 21:08:27.797000+00:00
4895792545,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-05 18:15:50.145000+00:00
4916645529,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-09 19:13:54.893000+00:00
4922009643,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-10 16:46:12.022000+00:00
4924396568,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-11 02:12:51.111000+00:00
4945213490,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-13 12:20:46.809000+00:00
4961329982,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-14 14:40:51.139000+00:00
4965436980,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-15 01:18:51.894000+00:00
4974977682,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-17 12:57:38.210000+00:00
4987432456,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-18 23:56:24.133000+00:00
5009155346,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-21 21:16:33.841000+00:00
5024060976,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-25 01:38:41.863000+00:00
5048980874,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-27 21:59:24.207000+00:00
5048989086,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-07-27 22:29:45.261000+00:00
5079742103,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-01 21:25:25.543000+00:00
5082594340,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-02 09:46:23.757000+00:00
5091795066,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-03 15:02:48.649000+00:00
5095922794,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-04 05:39:33.663000+00:00
5097331883,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-04 08:29:23.680000+00:00
5108583549,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-05 22:11:11.425000+00:00
5116715872,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-07 10:42:19.929000+00:00
5124855692,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-08 11:09:36.900000+00:00
5133555305,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-09 11:57:50.738000+00:00
5135142506,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-09 15:08:26.867000+00:00
5141833239,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-10 12:21:14.518000+00:00
5145745679,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-10 20:31:02.044000+00:00
5151922068,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-11 17:18:53.467000+00:00
5196625478,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-17 11:45:54.967000+00:00
5196628736,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-17 11:45:41.891000+00:00
5202427020,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-18 03:14:37.941000+00:00
5209823386,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-19 10:26:35.058000+00:00
5214044422,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-20 20:15:26.936000+00:00
5215132045,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-21 03:10:33.475000+00:00
5224710823,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-22 13:15:39.641000+00:00
5233873716,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-23 17:21:51.548000+00:00
5234218377,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-23 17:32:45.296000+00:00
5239336491,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-24 12:40:06.529000+00:00
5239720775,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-24 13:11:44.652000+00:00
5254524555,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-26 17:36:07.841000+00:00
5256623381,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-27 12:03:35.474000+00:00
5270070166,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-29 13:13:50.664000+00:00
5286552678,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-31 07:23:35.238000+00:00
5288411787,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-31 12:33:27.631000+00:00
5292582831,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-08-31 19:00:19.378000+00:00
5297197084,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-01 05:06:13.356000+00:00
5298633862,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-01 10:00:56.329000+00:00
5309604251,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-03 09:55:01.832000+00:00
5325641650,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-05 23:15:21.250000+00:00
5325774153,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-06 00:33:26.086000+00:00
5328237449,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-06 10:41:06.280000+00:00
5341412178,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-07 16:49:16.665000+00:00
5354756927,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-10 00:00:18.842000+00:00
5360198735,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-11 09:23:53.455000+00:00
5370055199,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-12 07:22:41.203000+00:00
5374242124,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-12 17:40:49.824000+00:00
5391843080,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-09-14 19:37:33.319000+00:00
